iter	Passed	Remaining
822	19798	4257
823	19821	4233
824	19844	4209
825	19874	4186
826	19896	4162
827	19916	4137
828	19940	4113
829	19963	4088
830	20000	4067
831	20023	4043
832	20048	4019
833	20081	3996
834	20101	3972
835	20137	3950
836	20158	3925
837	20180	3901
838	20203	3876
839	20231	3853
840	20253	3829
841	20277	3805
842	20298	3780
843	20320	3755
844	20350	3732
845	20383	3710
846	20418	3688
847	20445	3664
848	20469	3640
849	20492	3616
850	20510	3591
851	20533	3566
852	20552	3541
853	20573	3517
854	20600	3493
855	20628	3470
856	20648	3445
857	20672	3421
858	20699	3397
859	20719	3372
860	20745	3349
861	20767	3324
862	20786	3299
863	20809	3275
864	20833	3251
865	20855	3227
866	20877	3202
867	20901	3178
868	20928	3154
869	20951	3130
870	20982	3107
871	21001	3082
872	21020	3057
873	21047	3034
874	21079	3011
875	21109	2988
876	21132	2963
877	21157	2939
878	21180	2915
879	21209	2892
880	21230	2867
881	21253	2843
882	21277	2819
883	21306	2795
884	21333	2772
885	21356	2747
886	21376	2723
887	21396	2698
888	21419	2674
889	21448	2650
890	21477	2627
891	21508	2604
892	21534	2580
893	21564	2556
894	21593	2533
895	21618	2509
896	21643	2485
897	21666	2460
898	21684	2436
899	21707	2411
900	21734	2388
901	21755	2363
902	21777	2339
903	21812	2316
904	21834	2292
905	21856	2267
906	21874	2242
907	21892	2218
908	21913	2193
909	21937	2169
910	21976	2147
911	22000	2122
912	22020	2098
913	22053	2075
914	22078	2050
915	22107	2027
916	22135	2003
917	22159	1979
918	22188	1955
919	22213	1931
920	22237	1907
921	22259	1883
922	22311	1861
923	22339	1837
924	22372	1813
925	22404	1790
926	22435	1766
927	22470	1743
928	22499	1719
929	22542	1696
930	22567	1672
931	22587	1648
932	22608	1623
933	22625	1598
934	22645	1574
935	22667	1549
936	22692	1525
937	22715	1501
938	22733	1476
939	22755	1452
940	22787	1428
941	22811	1404
942	22834	1380
943	22863	1356
944	22891	1332
945	22925	1308
946	22954	1284
947	22991	1261
948	23025	1237
949	23056	1213
950	23080	1189
951	23099	1164
952	23122	1140
953	23143	1115
954	23160	1091
955	23187	1067
956	23206	1042
957	23226	1018
958	23253	994
959	23274	969
960	23298	945
961	23318	921
962	23339	896
963	23371	872
964	23391	848
965	23412	824
966	23431	799
967	23451	775
968	23475	751
969	23499	726
970	23521	702
971	23543	678
972	23563	653
973	23584	629
974	23604	605
975	23628	581
976	23650	556
977	23670	532
978	23689	508
979	23717	484
980	23748	459
981	23769	435
982	23790	411
983	23811	387
984	23833	362
985	23855	338
986	23877	314
987	23905	290
988	23928	266
989	23948	241
990	23985	217
991	24008	193
992	24038	169
993	24060	145
994	24082	121
995	24106	96
996	24130	72
997	24156	48
998	24188	24
999	24216	0
